resource,resource_type,dependency,dependency_type,Dependency_Notes,Resource_Notes,cluster
hsphxmfp011,,Tapevault,Fiber,,,
hsphxmexmb01,,Tapevault,Fiber,,,
hsbl01,Unbreakable_Server,,,,,
hsbl02,Unbreakable_Server,,,,,
hsbl03,Unbreakable_Server,,,,,
F5_Load_Balancer,Load_Balancer,hsbl01,,,,
F5_Load_Balancer,,hsbl02,,,,
F5_Load_Balancer,,hsbl03,,,,
Medical_Marijauna,Application,MM,DB,,,
Medical_Marijauna,Application,PROD_web_apache01_z,AppSErver,,,
hsweb1,,dumb2,NIS,,,
hsweb2,,dumb2,NIS,,,
dumb2,Sun_Zone,dumbledore,NIS,,,
VSIMS_Birth_and_Death_App,Application,VSIMSP,,,,
VSIMS_Birth_and_Death_App,,PROD_appworx,,,,
